i,j,x,y,z
0,0,-1.3007, 9.16219, 0.979973
0,1,-2.2379, 8.37735, 0.865642
0,2,-3.75383, 6.9498, 0.749898
0,3,-5.41376, 5.13166, 0.699973
0,4,-8.05919, 1.19493, 0.516504
0,5,-7.92056, 0.579416, 0.42582
0,6,-6.83129, 0.168362, 0.410068
0,7,-4.94058, -0.00931799, 0.310323
0,8,-2.84261, -0.0110514, 0.152974
0,9,-0.924974, -0.0602083, 0.0843523
1,0,-1.95732, 8.68265, 0.838546
1,1,-2.70003, 8.06844, 0.822862
1,2,-4.12541, 6.74997, 0.732673
1,3,-5.75838, 4.95286, 0.70996
1,4,-8.41626, 1.34527, 0.604948
1,5,-8.39596, 0.693761, 0.51984
1,6,-7.63112, 0.158681, 0.512846
1,7,-5.53328, 0.0121616, 0.372406
1,8,-3.19288, -0.00829107, 0.17983
1,9,-1.04252, -0.0557324, 0.0935673
2,0,-2.57962, 8.0765, 0.713714
2,1,-3.30084, 7.52087, 0.753969
2,2,-4.54007, 6.37631, 0.662198
2,3,-6.03386, 4.68202, 0.699455
2,4,-8.29883, 1.41156, 0.574613
2,5,-8.33531, 0.801981, 0.533919
2,6,-7.53438, 0.297443, 0.524202
2,7,-5.48929, 0.0718482, 0.377612
2,8,-3.18587, -0.0019263, 0.176863
2,9,-1.02679, -0.057487, 0.0960544
3,0,-2.8296, 7.30166, 0.601178
3,1,-3.58869, 6.74393, 0.65628
3,2,-4.76505, 5.68441, 0.620372
3,3,-6.07781, 4.30865, 0.634493
3,4,-7.69323, 1.53469, 0.613068
3,5,-7.66078, 0.787282, 0.494956
3,6,-6.66641, 0.370017, 0.450437
3,7,-4.86036, 0.109404, 0.339888
3,8,-2.8244, 0.0206882, 0.153041
3,9,-0.903492, -0.0404776, 0.0929384
4,0,-2.29951, 3.28564, 0.273005
4,1,-3.35146, 3.25712, 0.373553
4,2,-4.57316, 2.85594, 0.403017
4,3,-5.55479, 2.24715, 0.466869
4,4,-6.01245, 1.2957, 0.489363
4,5,-5.83192, 0.777071, 0.427935
4,6,-5.02202, 0.391472, 0.37407
4,7,-3.5724, 0.140846, 0.279658
4,8,-2.08404, 0.0329015, 0.130467
4,9,-0.709344, -0.0309782, 0.0683946
5,0,-1.441, 1.817, 0.140321
5,1,-2.14254, 1.91457, 0.194232
5,2,-2.97803, 1.78006, 0.232757
5,3,-3.55139, 1.51037, 0.27135
5,4,-3.69352, 0.89891, 0.276564
5,5,-3.4944, 0.608147, 0.23319
5,6,-2.97614, 0.357284, 0.213626
5,7,-2.02102, 0.13768, 0.134308
5,8,-1.10324, 0.0565254, 0.0607738
5,9,-0.298809, 0.01641, 0.0400203
6,0,-0.459415, 0.543974, 0.0241314
6,1,-0.768433, 0.641079, 0.0659162
6,2,-1.16815, 0.6076, 0.0842392
6,3,-1.3344, 0.557829, 0.0992171
6,4,-1.34119, 0.300102, 0.0919379
6,5,-1.27456, 0.271802, 0.0884208
6,6,-1.07823, 0.206665, 0.0747541
6,7,-0.650556, 0.0912838, 0.0801738
6,8,-0.290251, 0.0175279, 0.0228274
6,9,0.0186, 0.0045, 0.008
7,0,0.0106, 0.0081, 0.0111
7,1,0.005, 0.0034, 0.0055
7,2,0.0161, 0.0007, 0.0135
7,3,0.0045, 0.0103, 0.0048
7,4,0.0169, 0.0173, 0.0075
7,5,0.0154, 0.0007, 0.0003
7,6,0.0163, 0.014, 0.0187
7,7,0.0145, 0.0026, 0.002
7,8,0.0142, 0.0176, 0.0016
7,9,0.0067, 0.014, 0.0039
8,0,0.0147, 0.0024, 0.012
8,1,0.0037, 0.0074, 0.0154
8,2,0.0069, 0.0014, 0.0138
8,3,0.0005, 0.0059, 0.002
8,4,0.003, 0.0006, 0.0193
8,5,0.0105, 0.016, 0.0178
8,6,0.0108, 0.0101, 0.0096
8,7,0.0097, 0.0047, 0.0123
8,8,0.0117, 0.0166, 0.0077
8,9,0.0133, 0.0012, 0.0195
9,0,0.0149, 0.0136, 0.002
9,1,0.007, 0.0173, 0.0072
9,2,0.0003, 0.002, 0.0086
9,3,0.0118, 0.0025, 0.0122
9,4,0.0138, 0.0056, 0.0128
9,5,0.011, 0.0138, 0.0066
9,6,0.0089, 0.0048, 0.0144
9,7,0.0185, 0.0122, 0.0191
9,8,0.0086, 0.0017, 0.0135
9,9,0.0164, 0.015, 0.0147
