x,y,r,g,b
0,0,0.0135, 0.0115, 0.0052
0,1,0.0078, 0.002, 0.0003
0,2,0.0086, 0.0138, 0.017
0,3,0.0131, 0.0076, 0.0155
0,4,0.0162, 0.0163, 0.0145
0,5,0.0136, 0.0149, 0.0016
0,6,0.0126, 0.0091, 0.0125
0,7,0.0108, 0.0094, 0.0125
0,8,0.0189, 0.0116, 0.0072
0,9,0.0119, 0.0172, 0.0018
1,0,0.0068, 0.0108, 0.011
1,1,0.0097, 0.0187, 0.013
1,2,0.01, 0.0051, 0.0069
1,3,0.0072, 0.0182, 0.0145
1,4,0.0028, 0.0146, 0.0087
1,5,0.015, 0.006, 0.0037
1,6,0.0143, 0.0186, 0.0105
1,7,0.0069, 0.0073, 0.0176
1,8,0.0194, 0.0063, 0.0071
1,9,0.0044, 0.0159, 0.0044
2,0,0.0062, 0.0029, 0.0152
2,1,0.0149, 0.0103, 0.0117
2,2,0.0081, 0.0005, 0.0169
2,3,0.015, 0.0054, 0.0129
2,4,0.0074, 0.0059, 0.0053
2,5,0.0138, 0.001, 0.0113
2,6,0.0175, 0.013, 0.0078
2,7,0.0058, 0, 0.0128
2,8,0.0036, 0.0171, 0.0191
2,9,0.0107, 0.0017, 0.0128
3,0,0.0151, 0.0056, 0.0134
3,1,0.0081, 0.0007, 0.0039
3,2,0.0176, 0.0065, 0.0044
3,3,0.0123, 0.0192, 0.0075
3,4,0.0053, 0.0067, 0.0134
3,5,0.0384618, 0.0308985, 0.0420495
3,6,0.0876678, 0.0739329, 0.0741742
3,7,0.0921047, 0.0754973, 0.0899144
3,8,0.11539, 0.0855439, 0.0991754
3,9,0.112598, 0.093961, 0.100707
4,0,0.008, 0.0067, 0.0052
4,1,0.0015, 0.0125, 0.0059
4,2,0.0054, 0.0102, 0.0124
4,3,0.0075, 0.0026, 0.0117
4,4,0.0448615, 0.0358437, 0.0359195
4,5,0.102621, 0.119375, 0.10725
4,6,0.192559, 0.194698, 0.193473
4,7,0.220354, 0.238663, 0.238333
4,8,0.246726, 0.258149, 0.268769
4,9,0.240193, 0.24529, 0.259903
5,0,0.0039, 0.0161, 0.0114
5,1,0.0091, 0.0176, 0.004
5,2,0.0127, 0.0009, 0.0143
5,3,0.0029, 0.0061, 0.0146
5,4,0.0808745, 0.0869233, 0.0465956
5,5,0.193034, 0.194638, 0.181598
5,6,0.320242, 0.313121, 0.319941
5,7,0.399503, 0.382364, 0.396889
5,8,0.438367, 0.420263, 0.458082
5,9,0.429729, 0.399195, 0.442547
6,0,0.0171, 0.013, 0.0007
6,1,0.0086, 0, 0.0161
6,2,0.0104, 0.0127, 0.017
6,3,0.0048, 0.0157, 0.0032
6,4,0.102874, 0.0947514, 0.0601863
6,5,0.24259, 0.245246, 0.21069
6,6,0.398895, 0.39462, 0.387914
6,7,0.500052, 0.484508, 0.498731
6,8,0.575734, 0.547937, 0.593108
6,9,0.552883, 0.506673, 0.575657
7,0,0.0137, 0.014, 0.0117
7,1,0.0122, 0.0028, 0.0094
7,2,0.0084, 0.0132, 0.0022
7,3,0.0055, 0.0157, 0.0156
7,4,0.104851, 0.110706, 0.0674982
7,5,0.261376, 0.265275, 0.23681
7,6,0.444231, 0.438266, 0.424814
7,7,0.57354, 0.561172, 0.560566
7,8,0.600824, 0.592327, 0.639693
7,9,0.576821, 0.554007, 0.620294
8,0,0.0134, 0.0059, 0.0055
8,1,0.0029, 0.0181, 0.006
8,2,0.0123, 0.0066, 0.0169
8,3,0.0123, 0.0098, 0.0104
8,4,0.106292, 0.113769, 0.0670478
8,5,0.25479, 0.25347, 0.226371
8,6,0.426578, 0.422297, 0.40733
8,7,0.553754, 0.537919, 0.535814
8,8,0.592124, 0.553858, 0.604054
8,9,0.562351, 0.506302, 0.58396
9,0,0.0049, 0.0195, 0.0144
9,1,0.0104, 0.0002, 0.0103
9,2,0.0141, 0.0126, 0.0147
9,3,0.0111, 0.005, 0.0046
9,4,0.0887279, 0.097033, 0.0751537
9,5,0.21612, 0.225899, 0.202455
9,6,0.364275, 0.353664, 0.348352
9,7,0.443412, 0.417227, 0.423877
9,8,0.469402, 0.434194, 0.47453
9,9,0.442428, 0.409554, 0.460618
