x,y,r,g,b
0,0,0.0135, 0.0115, 0.0052
0,1,0.0277744, 0.032256, 0.020502
0,2,0.063925, 0.0821773, 0.071742
0,3,0.145996, 0.157001, 0.148034
0,4,0.205443, 0.222079, 0.204099
0,5,0.256494, 0.264149, 0.247636
0,6,0.272403, 0.270943, 0.27233
0,7,0.260194, 0.254443, 0.261449
0,8,0.224134, 0.202309, 0.214884
0,9,0.160653, 0.149478, 0.152075
1,0,0.0369103, 0.0306834, 0.0409829
1,1,0.0932642, 0.11007, 0.105519
1,2,0.168436, 0.186571, 0.18633
1,3,0.290898, 0.327015, 0.312067
1,4,0.384592, 0.419027, 0.398509
1,5,0.475702, 0.487326, 0.477361
1,6,0.517294, 0.52489, 0.517961
1,7,0.487135, 0.487436, 0.490124
1,8,0.435597, 0.400729, 0.416252
1,9,0.334489, 0.30891, 0.316616
2,0,0.0751048, 0.0586206, 0.0834801
2,1,0.175458, 0.179776, 0.192787
2,2,0.294359, 0.312432, 0.32797
2,3,0.456582, 0.485861, 0.480175
2,4,0.564548, 0.607201, 0.586926
2,5,0.65625, 0.685487, 0.67625
2,6,0.720214, 0.735625, 0.730406
2,7,0.676401, 0.682722, 0.685968
2,8,0.621757, 0.598247, 0.61903
2,9,0.508827, 0.473733, 0.502721
3,0,0.128299, 0.103558, 0.126794
3,1,0.263462, 0.262834, 0.283606
3,2,0.437204, 0.448064, 0.462749
3,3,0.600339, 0.63411, 0.630877
3,4,0.696135, 0.757807, 0.730663
3,5,0.773472, 0.817448, 0.804017
3,6,0.817824, 0.840025, 0.833
3,7,0.80348, 0.809782, 0.810846
3,8,0.781116, 0.727962, 0.766176
3,9,0.663199, 0.623479, 0.650302
4,0,0.16825, 0.149604, 0.156799
4,1,0.348199, 0.349005, 0.357826
4,2,0.550587, 0.55149, 0.568472
4,3,0.721998, 0.71218, 0.740372
4,4,0.775888, 0.816372, 0.810458
4,5,0.817437, 0.863154, 0.848753
4,6,0.855923, 0.87918, 0.860957
4,7,0.847239, 0.855974, 0.846921
4,8,0.842653, 0.818714, 0.829458
4,9,0.763915, 0.738566, 0.75834
5,0,0.20573, 0.199122, 0.190383
5,1,0.425089, 0.414314, 0.41002
5,2,0.636401, 0.621644, 0.627412
5,3,0.786267, 0.779223, 0.778949
5,4,0.829504, 0.841747, 0.834862
5,5,0.859196, 0.878096, 0.858962
5,6,0.880036, 0.892933, 0.872964
5,7,0.864498, 0.879885, 0.868909
5,8,0.863816, 0.861271, 0.854241
5,9,0.808765, 0.788231, 0.798545
6,0,0.224271, 0.207623, 0.184152
6,1,0.456893, 0.425061, 0.434053
6,2,0.676905, 0.651397, 0.645525
6,3,0.819651, 0.793972, 0.777521
6,4,0.868456, 0.846798, 0.837262
6,5,0.885199, 0.871953, 0.865048
6,6,0.891943, 0.887319, 0.874342
6,7,0.872465, 0.881226, 0.875307
6,8,0.865172, 0.880841, 0.85539
6,9,0.803788, 0.802099, 0.79959
7,0,0.213543, 0.203676, 0.180574
7,1,0.445477, 0.40144, 0.403967
7,2,0.663601, 0.621792, 0.603677
7,3,0.817873, 0.767258, 0.732131
7,4,0.875978, 0.813268, 0.805378
7,5,0.892303, 0.847638, 0.84837
7,6,0.895442, 0.868328, 0.858022
7,7,0.8633, 0.865864, 0.852195
7,8,0.82977, 0.874121, 0.821385
7,9,0.760146, 0.78934, 0.763544
8,0,0.172777, 0.166489, 0.133595
8,1,0.380815, 0.352161, 0.331546
8,2,0.606304, 0.553542, 0.530048
8,3,0.778965, 0.713825, 0.666459
8,4,0.858662, 0.769928, 0.768208
8,5,0.885836, 0.818059, 0.816778
8,6,0.889944, 0.84813, 0.827968
8,7,0.850116, 0.83578, 0.820769
8,8,0.791563, 0.832787, 0.77868
8,9,0.700425, 0.724309, 0.70755
9,0,0.119272, 0.132193, 0.0985901
9,1,0.304429, 0.258219, 0.253267
9,2,0.499439, 0.444906, 0.432494
9,3,0.664288, 0.587803, 0.57503
9,4,0.785123, 0.687014, 0.704644
9,5,0.830982, 0.761589, 0.761156
9,6,0.841501, 0.7953, 0.778597
9,7,0.798127, 0.77706, 0.759531
9,8,0.702769, 0.748431, 0.682699
9,9,0.590754, 0.610205, 0.580708
