x,y,r,g,b
0,0,0.0135, 0.0115, 0.0052
0,1,0.0078, 0.002, 0.0003
0,2,0.0086, 0.0138, 0.017
0,3,0.0131, 0.0076, 0.0155
0,4,0.0162, 0.0163, 0.0145
0,5,0.0136, 0.0149, 0.0016
0,6,0.0126, 0.0091, 0.0125
0,7,0.0108, 0.0094, 0.0125
0,8,0.0189, 0.0116, 0.0072
0,9,0.0119, 0.0172, 0.0018
1,0,0.0068, 0.0108, 0.011
1,1,0.0097, 0.0187, 0.013
1,2,0.01, 0.0051, 0.0069
1,3,0.0372982, 0.0479644, 0.0342711
1,4,0.0719407, 0.0732233, 0.0543196
1,5,0.12821, 0.107491, 0.0891212
1,6,0.173531, 0.162132, 0.137787
1,7,0.18337, 0.167677, 0.159811
1,8,0.193647, 0.16797, 0.155214
1,9,0.165232, 0.162552, 0.142806
2,0,0.0062, 0.0029, 0.0152
2,1,0.0149, 0.0103, 0.0117
2,2,0.0381709, 0.0308015, 0.0365983
2,3,0.120178, 0.111605, 0.0920169
2,4,0.1964, 0.191517, 0.156685
2,5,0.289369, 0.281205, 0.247533
2,6,0.377615, 0.373751, 0.328191
2,7,0.395954, 0.39108, 0.361502
2,8,0.388411, 0.397214, 0.36992
2,9,0.341179, 0.33924, 0.332984
3,0,0.0151, 0.0056, 0.0134
3,1,0.0381709, 0.0309955, 0.0340983
3,2,0.122501, 0.112587, 0.0978386
3,3,0.2395, 0.252694, 0.203768
3,4,0.366034, 0.372492, 0.323429
3,5,0.493264, 0.499224, 0.439529
3,6,0.603697, 0.60266, 0.534049
3,7,0.624677, 0.618942, 0.566778
3,8,0.608076, 0.600759, 0.562917
3,9,0.533081, 0.534313, 0.515187
4,0,0.008, 0.0067, 0.0052
4,1,0.070731, 0.071269, 0.0651271
4,2,0.203146, 0.19434, 0.181767
4,3,0.376686, 0.360999, 0.323922
4,4,0.54617, 0.527227, 0.468738
4,5,0.675042, 0.671288, 0.592025
4,6,0.778117, 0.766866, 0.678782
4,7,0.789155, 0.771237, 0.706964
4,8,0.762327, 0.767232, 0.722256
4,9,0.687601, 0.699181, 0.680216
5,0,0.0039, 0.0161, 0.0114
5,1,0.0955728, 0.090575, 0.078163
5,2,0.276961, 0.250779, 0.246321
5,3,0.48468, 0.466269, 0.424496
5,4,0.674247, 0.654441, 0.58036
5,5,0.79914, 0.784484, 0.69787
5,6,0.854877, 0.842565, 0.765508
5,7,0.852071, 0.849462, 0.784812
5,8,0.823608, 0.838729, 0.792792
5,9,0.764915, 0.769063, 0.752339
6,0,0.0171, 0.013, 0.0007
6,1,0.106832, 0.0836124, 0.0981156
6,2,0.329258, 0.308877, 0.299506
6,3,0.568826, 0.544713, 0.501397
6,4,0.7701, 0.737184, 0.687778
6,5,0.851779, 0.836586, 0.774043
6,6,0.878997, 0.880207, 0.808605
6,7,0.875839, 0.885485, 0.820628
6,8,0.846633, 0.873292, 0.820498
6,9,0.778408, 0.794958, 0.773665
7,0,0.0137, 0.014, 0.0117
7,1,0.110075, 0.0849131, 0.0908585
7,2,0.334777, 0.313664, 0.296434
7,3,0.577131, 0.545241, 0.512717
7,4,0.775447, 0.723322, 0.680613
7,5,0.856017, 0.834102, 0.783873
7,6,0.884366, 0.876383, 0.814606
7,7,0.874426, 0.884608, 0.818891
7,8,0.834895, 0.870213, 0.815826
7,9,0.760146, 0.78934, 0.763544
8,0,0.0134, 0.0059, 0.0055
8,1,0.0899144, 0.0881105, 0.0770675
8,2,0.312099, 0.286021, 0.285632
8,3,0.528675, 0.495879, 0.471119
8,4,0.712391, 0.681946, 0.640487
8,5,0.820045, 0.807279, 0.76123
8,6,0.854723, 0.857555, 0.794844
8,7,0.839552, 0.860372, 0.794952
8,8,0.791563, 0.832787, 0.77868
8,9,0.700425, 0.724309, 0.70755
9,0,0.0049, 0.0195, 0.0144
9,1,0.0790133, 0.0565151, 0.0659141
9,2,0.251704, 0.233341, 0.234934
9,3,0.431916, 0.405167, 0.388294
9,4,0.609137, 0.587735, 0.559304
9,5,0.741576, 0.735605, 0.695798
9,6,0.789576, 0.789388, 0.743218
9,7,0.77601, 0.789289, 0.733164
9,8,0.702769, 0.748431, 0.682699
9,9,0.590754, 0.610205, 0.580708
