i,j,x,y
0,0,420.392, 246.954
0,1,380.974, 244.982
0,2,357.736, 247.688
0,3,338.012, 245.599
0,4,426.154, 337.041
0,5,465.573, 324.86
0,6,507.28, 294.237
0,7,534.47, 271.247
0,8,556.678, 254.286
0,9,565.604, 241.741
1,0,380.974, 244.982
1,1,370.608, 246.037
1,2,352.889, 247.891
1,3,334.996, 244.616
1,4,419.396, 343.217
1,5,465.482, 324.219
1,6,515.664, 283.56
1,7,537.205, 263.118
1,8,551.009, 246.218
1,9,557.6, 228.773
2,0,357.736, 247.688
2,1,352.889, 247.891
2,2,341.272, 246.488
2,3,327.421, 241.593
2,4,409.718, 345.923
2,5,462.861, 314.273
2,6,511.009, 271.118
2,7,525.636, 246.731
2,8,533.924, 224.092
2,9,538.196, 208.543
3,0,338.012, 245.599
3,1,334.996, 244.616
3,2,327.421, 241.593
3,3,319.699, 237.805
3,4,394.442, 339.47
3,5,446.944, 303.088
3,6,490.167, 261.679
3,7,503.844, 231.001
3,8,510.834, 201.535
3,9,510.231, 180.709
4,0,271.886, 389.951
4,1,278.047, 387.332
4,2,293.951, 381.798
4,3,323.101, 360.756
4,4,365.264, 323.914
4,5,420.125, 280.898
4,6,457.027, 242.022
4,7,483.264, 209.514
4,8,479.744, 172.108
4,9,470.909, 145.929
5,0,239.026, 390.544
5,1,243.886, 386.002
5,2,253.793, 371.821
5,3,274.687, 339.848
5,4,311.344, 291
5,5,375.557, 229.392
5,6,423.916, 205.616
5,7,432.859, 166.528
5,8,426.458, 130.865
5,9,417.332, 104.134
6,0,201.14, 365.725
6,1,200.966, 355.249
6,2,206.814, 338.102
6,3,217.21, 300.8
6,4,233.287, 247.371
6,5,283.278, 208.429
6,6,341.766, 157.443
6,7,366.086, 128.797
6,8,379.76, 102.879
6,9,386.343, 82.9314
7,0,177.797, 341.896
7,1,168.428, 323.954
7,2,161.491, 296.963
7,3,155.633, 255.19
7,4,176.24, 219.37
7,5,213.911, 183.467
7,6,271.93, 137.881
7,7,313.394, 104.921
7,8,342.27, 81.2517
7,9,357.767, 67.8577
8,0,141.656, 307.214
8,1,136.903, 289.576
8,2,125.013, 261.084
8,3,130.146, 230.67
8,4,148.753, 193.791
8,5,183.897, 158.914
8,6,230.287, 118.016
8,7,275.708, 87.6121
8,8,311.153, 66.2502
8,9,332.268, 54.2654
9,0,111.457, 273.819
9,1,107.665, 260.855
9,2,102.857, 242.601
9,3,109.395, 214.404
9,4,130.722, 182.602
9,5,166.931, 146.712
9,6,210.408, 108.174
9,7,260.661, 81.2305
9,8,293.276, 65.1497
9,9,318.194, 53.6863
