i,j,x,y
0,0,276.15, 202.532
0,1,272.846, 235.484
0,2,296.875, 237.571
0,3,318.852, 239.015
0,4,400.238, 347.91
0,5,455.798, 329.484
0,6,508.215, 300.474
0,7,543.905, 272.818
0,8,564.869, 257.64
0,9,576.701, 242.95
1,0,272.846, 235.484
1,1,282.224, 237.059
1,2,302.554, 237.979
1,3,321.531, 239.178
1,4,415.867, 342.459
1,5,460.626, 330.387
1,6,523.754, 283.494
1,7,535.991, 258.47
1,8,555.042, 245.833
1,9,562.555, 223.753
2,0,296.875, 237.571
2,1,302.554, 237.979
2,2,315.615, 238.829
2,3,326.529, 239.365
2,4,395.411, 362.732
2,5,457.254, 325.595
2,6,517.738, 279.863
2,7,535.155, 246.69
2,8,542.443, 214.881
2,9,546.846, 204.873
3,0,318.852, 239.015
3,1,321.531, 239.178
3,2,326.529, 239.365
3,3,328.756, 238.734
3,4,381.244, 363.124
3,5,447.764, 317.042
3,6,516.885, 267.123
3,7,540.886, 229.609
3,8,529.59, 197.493
3,9,518.386, 176.205
4,0,326.644, 415.145
4,1,314.843, 413.567
4,2,312.067, 412.792
4,3,321.089, 400.207
4,4,350.347, 368.469
4,5,419.6, 310.687
4,6,470.448, 253.577
4,7,514.119, 200.902
4,8,499.972, 158.295
4,9,472.175, 137.028
5,0,294.42, 423.248
5,1,291.146, 416.484
5,2,279.394, 399.851
5,3,279.93, 381.769
5,4,295.926, 331.391
5,5,378.5, 221.411
5,6,447.528, 205.158
5,7,440.753, 142.135
5,8,413.655, 97.3614
5,9,393.917, 78.6488
6,0,241.716, 399.476
6,1,254.309, 397.326
6,2,233.867, 378.017
6,3,208.107, 333.584
6,4,179.189, 246.775
6,5,221.821, 188.788
6,6,325.595, 120.306
6,7,354.57, 90.6761
6,8,369.772, 77.1169
6,9,375.766, 64.1227
7,0,192.077, 369.114
7,1,190.641, 352.321
7,2,172.761, 317.738
7,3,125.762, 256.985
7,4,128.652, 212.044
7,5,186.306, 156.843
7,6,256.895, 105.083
7,7,311.513, 75.2702
7,8,338.271, 60.0278
7,9,353.926, 50.8521
8,0,162.761, 339.063
8,1,146.252, 305.799
8,2,115.43, 259.435
8,3,100.904, 231.203
8,4,112.6, 191.264
8,5,166.982, 145.822
8,6,225.225, 94.319
8,7,282.652, 71.5359
8,8,321.18, 54.9512
8,9,336.005, 43.6846
9,0,126.746, 308.098
9,1,107.025, 270.436
9,2,89.4463, 241.671
9,3,87.2705, 209.073
9,4,111.583, 181.258
9,5,144.969, 141.738
9,6,209.736, 93.4033
9,7,276.369, 65.9833
9,8,318.345, 50.8348
9,9,325.193, 44.698
