i,j,x,y
0,0,369.291, 209.021
0,1,358.169, 225.951
0,2,342.47, 229.862
0,3,320.333, 231.986
0,4,431.337, 331.308
0,5,465.547, 323.49
0,6,506.876, 292.982
0,7,533.504, 271.404
0,8,555.025, 254.892
0,9,564.097, 242.296
1,0,358.169, 225.951
1,1,352.872, 228.484
1,2,337.445, 230.199
1,3,316.977, 232.581
1,4,425.499, 336.46
1,5,466.677, 321.255
1,6,515.484, 282.283
1,7,536.569, 262.8
1,8,548.923, 246.976
1,9,556.232, 229.045
2,0,342.47, 229.862
2,1,337.445, 230.199
2,2,324.075, 231.439
2,3,309.19, 234.459
2,4,416.527, 337.711
2,5,463.434, 311.805
2,6,509.061, 270.513
2,7,523.163, 247.271
2,8,532.02, 224.925
2,9,536.485, 209
3,0,320.333, 231.986
3,1,316.977, 232.581
3,2,309.19, 234.459
3,3,302.869, 237.124
3,4,394.164, 336.891
3,5,444.775, 301.786
3,6,485.461, 262.491
3,7,500.329, 231.842
3,8,508.467, 202.49
3,9,508.619, 181.3
4,0,266.579, 393.209
4,1,269.686, 388.646
4,2,281.392, 378.203
4,3,313.707, 357.285
4,4,360.528, 320.563
4,5,418.055, 280.099
4,6,456.556, 242.264
4,7,479.803, 210.353
4,8,477.719, 173.707
4,9,470.151, 147.137
5,0,236.171, 390.201
5,1,229.655, 380.249
5,2,238.899, 365.312
5,3,262.712, 334.284
5,4,305.096, 287.654
5,5,374.882, 233.202
5,6,420.57, 208.691
5,7,431.756, 169.943
5,8,426.646, 134.033
5,9,418.322, 106.453
6,0,194.106, 357.101
6,1,190.154, 345.253
6,2,195.302, 329.771
6,3,207.981, 297.263
6,4,232.857, 252.392
6,5,283.69, 212.141
6,6,341.363, 162.194
6,7,366.117, 133.416
6,8,380.576, 106.428
6,9,387.265, 85.1339
7,0,162.758, 326.136
7,1,155.747, 307.613
7,2,149.768, 286.257
7,3,151.438, 252.898
7,4,175.567, 221.123
7,5,214.592, 186.618
7,6,272.41, 142.463
7,7,313.539, 108.761
7,8,342.803, 83.9431
7,9,358.581, 69.1407
8,0,130.16, 293.945
8,1,121.707, 271.632
8,2,116.482, 252.591
8,3,125.536, 227.567
8,4,146.84, 194.749
8,5,183, 161.719
8,6,229.245, 121.441
8,7,274.513, 90.4608
8,8,310.656, 68.0797
8,9,332.376, 55.265
9,0,104.427, 265.239
9,1,100.141, 251.589
9,2,97.3409, 236.544
9,3,106.244, 211.713
9,4,128.814, 182.11
9,5,165.46, 148.063
9,6,208.674, 110.073
9,7,258.373, 82.8518
9,8,292.038, 65.7501
9,9,317.759, 53.7467
