i,j,x,y,z
0,0,0.0081, 0.0073, 0.012
0,1,1.41578, 0.368259, -0.0544974
0,2,3.23776, 0.63902, -0.0719081
0,3,5.20843, 0.840714, -0.0567437
0,4,6.93394, 0.854255, -0.0289653
0,5,7.82895, 0.859395, -0.0107036
0,6,8.03868, 0.835061, 0.0710093
0,7,7.87925, 0.773896, 0.109061
0,8,7.22918, 0.536717, 0.217677
0,9,5.52423, 0.539626, 0.194036
1,0,0.0124, 0.0008, 0.0096
1,1,1.66345, 0.663401, -0.0721516
1,2,3.63478, 1.27647, -0.0799669
1,3,5.55292, 1.80731, -0.10784
1,4,6.97503, 2.13902, -0.124427
1,5,7.74188, 2.13704, -0.0447866
1,6,7.87566, 2.17855, 0.0423264
1,7,7.77711, 2.0836, 0.129747
1,8,7.22129, 1.88779, 0.256828
1,9,5.7933, 1.77967, 0.26855
2,0,0.0142, 0.0098, 0.0188
2,1,1.68041, 0.792967, -0.0871583
2,2,3.65713, 1.73921, -0.0960024
2,3,5.46102, 2.57181, -0.132695
2,4,6.68303, 3.13514, -0.184692
2,5,7.22719, 3.31045, -0.082943
2,6,7.28275, 3.41096, 0.0302667
2,7,7.14377, 3.39563, 0.133629
2,8,6.54141, 3.44467, 0.324954
2,9,5.38967, 3.35066, 0.353252
3,0,0.0157, 0.0046, 0.0184
3,1,1.5792, 0.846251, -0.0759285
3,2,3.417, 1.97437, -0.075526
3,3,5.07748, 3.13153, -0.0850972
3,4,6.14172, 3.97846, -0.0913012
3,5,6.56044, 4.25468, -0.00875836
3,6,6.51772, 4.50218, 0.0773141
3,7,6.28733, 4.58499, 0.179978
3,8,5.52092, 4.90266, 0.381579
3,9,4.55461, 5.06658, 0.430936
4,0,0.0115, 0.0014, 0.0089
4,1,1.16961, 0.840154, -0.0695017
4,2,2.64678, 2.07076, -0.0588006
4,3,4.05905, 3.6266, -0.0151762
4,4,5.01562, 4.90835, 0.0736851
4,5,5.28889, 5.47616, 0.135442
4,6,5.12583, 5.88348, 0.223778
4,7,4.75236, 6.1403, 0.338538
4,8,3.96662, 6.48147, 0.532679
4,9,3.16759, 6.51734, 0.596293
5,0,0.007, 0.0157, 0.0079
5,1,0.808258, 0.664825, -0.0369244
5,2,1.85866, 1.85562, -0.0316286
5,3,2.93853, 3.56133, 0.0516946
5,4,3.6791, 5.115, 0.197941
5,5,3.93992, 6.26148, 0.283631
5,6,3.75652, 6.87515, 0.38894
5,7,3.37562, 7.18371, 0.474322
5,8,2.72239, 7.43522, 0.593861
5,9,2.25606, 7.23338, 0.614007
6,0,0.0118, 0.0188, 0.016
6,1,0.468112, 0.465797, 0.00442468
6,2,1.1196, 1.38645, 0.0320651
6,3,1.79221, 3.11159, 0.151023
6,4,2.27178, 4.96704, 0.374111
6,5,2.47903, 6.45529, 0.504807
6,6,2.42838, 7.41796, 0.607547
6,7,2.22209, 7.7294, 0.65576
6,8,1.82881, 7.82652, 0.659446
6,9,1.47497, 7.4852, 0.614395
7,0,0.0152, 0.0011, 0.018
7,1,0.18865, 0.251676, 0.0133763
7,2,0.50486, 0.868372, 0.0331344
7,3,0.841863, 2.39562, 0.173978
7,4,1.05049, 4.33481, 0.445568
7,5,1.2212, 6.10433, 0.622061
7,6,1.23567, 7.39461, 0.740701
7,7,1.16857, 7.79472, 0.794398
7,8,1.00652, 7.798, 0.721129
7,9,0.832249, 7.23557, 0.612427
8,0,0.0046, 0.0156, 0.0016
8,1,0.0028, 0.0025, 0.0002
8,2,0.111004, 0.269247, 0.0194842
8,3,0.225787, 1.38521, 0.14222
8,4,0.27817, 3.10339, 0.403187
8,5,0.410807, 4.90123, 0.574594
8,6,0.533379, 6.25275, 0.666521
8,7,0.589954, 6.96066, 0.675114
8,8,0.658757, 6.93489, 0.604782
8,9,0.533264, 6.10811, 0.545009
9,0,0.0095, 0.0027, 0.0062
9,1,0.0111, 0.0032, 0.0088
9,2,0.0114, 0.0121, 0.0109
9,3,-0.00342832, 0.67406, 0.0998614
9,4,0.0210877, 1.90534, 0.300572
9,5,0.130977, 3.32348, 0.426847
9,6,0.202882, 4.46028, 0.497518
9,7,0.265328, 5.00878, 0.514008
9,8,0.299996, 5.00551, 0.48464
9,9,0.275891, 4.45545, 0.419708
