i,j,x,y,z
0,0,0.0081, 0.0073, 0.012
0,1,0.0031, 0.0177, 0.0129
0,2,0.0022, 0.0092, 0.0005
0,3,1.50836, -0.0917511, 0.0579966
0,4,3.46977, -0.203535, 0.111423
0,5,5.57566, -0.210642, 0.191301
0,6,6.97871, -0.405177, 0.26167
0,7,7.22853, -0.334275, 0.23817
0,8,6.8538, -0.229345, 0.234483
0,9,5.49813, -0.0110732, 0.185896
1,0,0.0124, 0.0008, 0.0096
1,1,0.0045, 0.004, 0.0074
1,2,0.0151, 0.0039, 0.0143
1,3,1.67319, 0.146536, 0.0478686
1,4,3.81808, 0.31354, 0.132323
1,5,6.02164, 0.475951, 0.205611
1,6,7.36329, 0.366321, 0.242734
1,7,7.64268, 0.400948, 0.279816
1,8,7.23248, 0.580471, 0.240466
1,9,5.97645, 0.686422, 0.219805
2,0,0.0142, 0.0098, 0.0188
2,1,0.0039, 0.0143, 0.0006
2,2,0.0113, 0.0096, 0.0045
2,3,1.67558, 0.464027, 0.0546242
2,4,3.71672, 1.01799, 0.166091
2,5,5.68788, 1.49137, 0.229552
2,6,6.72984, 1.76139, 0.254842
2,7,6.91284, 1.95018, 0.305315
2,8,6.57499, 2.12589, 0.330645
2,9,5.58116, 2.08433, 0.297384
3,0,0.0157, 0.0046, 0.0184
3,1,0.0146, 0.0086, 0.0105
3,2,0.0152, 0.0176, 0.0178
3,3,1.50572, 0.87754, 0.0935594
3,4,3.21023, 1.92294, 0.229767
3,5,4.75906, 2.83857, 0.288896
3,6,5.36593, 3.42802, 0.338585
3,7,5.57687, 3.75886, 0.378094
3,8,5.33188, 3.84816, 0.39613
3,9,4.71274, 3.50441, 0.362658
4,0,0.0115, 0.0014, 0.0089
4,1,0.0077, 0.0137, 0.0152
4,2,0.0183, 0.0067, 0.0129
4,3,0.998181, 1.40708, 0.128607
4,4,2.11755, 3.06755, 0.372003
4,5,2.93763, 4.755, 0.512494
4,6,3.24839, 5.79343, 0.589282
4,7,3.29162, 6.14999, 0.662318
4,8,3.28991, 6.0144, 0.634009
4,9,3.08089, 5.34818, 0.569835
5,0,0.007, 0.0157, 0.0079
5,1,0.0136, 0.0012, 0.0194
5,2,0.0089, 0.0195, 0.0062
5,3,0.592063, 1.60544, 0.144
5,4,1.30811, 3.54018, 0.42453
5,5,1.82346, 5.48915, 0.627027
5,6,2.04831, 6.65176, 0.762774
5,7,2.03095, 7.04615, 0.812283
5,8,2.12769, 6.86936, 0.750482
5,9,2.23717, 6.13932, 0.65746
6,0,0.0118, 0.0188, 0.016
6,1,0.0174, 0.0125, 0.0173
6,2,0.0169, 0.0015, 0.0146
6,3,0.277656, 1.60501, 0.166139
6,4,0.635742, 3.6493, 0.489492
6,5,0.918506, 5.69992, 0.72274
6,6,1.02547, 6.96838, 0.912815
6,7,1.11515, 7.31776, 0.966482
6,8,1.28574, 7.06442, 0.852249
6,9,1.3645, 6.06685, 0.709083
7,0,0.0152, 0.0011, 0.018
7,1,0.0091, 0.0185, 0.0084
7,2,0.0042, 0.0133, 0.0076
7,3,0.229116, 1.48301, 0.162016
7,4,0.359306, 3.28395, 0.47214
7,5,0.528153, 5.16399, 0.719414
7,6,0.601983, 6.4332, 0.930259
7,7,0.657926, 6.79124, 1.05537
7,8,0.738313, 6.55937, 0.926734
7,9,0.834089, 5.43711, 0.701655
8,0,0.0046, 0.0156, 0.0016
8,1,0.0028, 0.0025, 0.0002
8,2,0.0089, 0.0044, 0.0135
8,3,0.0936796, 1.07688, 0.139347
8,4,0.105368, 2.43731, 0.396639
8,5,0.176473, 3.96074, 0.602513
8,6,0.287891, 4.87205, 0.751979
8,7,0.33372, 5.20181, 0.807948
8,8,0.37897, 4.96539, 0.744692
8,9,0.394575, 4.21473, 0.598682
9,0,0.0095, 0.0027, 0.0062
9,1,0.0111, 0.0032, 0.0088
9,2,0.0114, 0.0121, 0.0109
9,3,-0.00342832, 0.67406, 0.0998614
9,4,-0.00375838, 1.51235, 0.280757
9,5,0.0327926, 2.48738, 0.413734
9,6,0.0347227, 2.95732, 0.49508
9,7,0.0421104, 3.13582, 0.524232
9,8,0.0549007, 2.95662, 0.495322
9,9,0.0693883, 2.49483, 0.406578
