i,j,x,y,z
0,0,0.0081, 0.0073, 0.012
0,1,0.0031, 0.0177, 0.0129
0,2,0.0022, 0.0092, 0.0005
0,3,1.50836, -0.0917511, 0.0579966
0,4,3.46977, -0.203535, 0.111423
0,5,5.57566, -0.210642, 0.191301
0,6,6.97871, -0.405177, 0.26167
0,7,7.22853, -0.334275, 0.23817
0,8,6.8538, -0.229345, 0.234483
0,9,5.49813, -0.0110732, 0.185896
1,0,0.0124, 0.0008, 0.0096
1,1,0.0045, 0.004, 0.0074
1,2,0.0151, 0.0039, 0.0143
1,3,1.67319, 0.146536, 0.0478686
1,4,3.81808, 0.31354, 0.132323
1,5,6.02164, 0.475951, 0.205611
1,6,7.36329, 0.366321, 0.242734
1,7,7.64268, 0.400948, 0.279816
1,8,7.23248, 0.580471, 0.240466
1,9,5.97645, 0.686422, 0.219805
2,0,0.0142, 0.0098, 0.0188
2,1,0.0039, 0.0143, 0.0006
2,2,0.0113, 0.0096, 0.0045
2,3,1.67558, 0.464027, 0.0546242
2,4,3.71672, 1.01799, 0.166091
2,5,5.68788, 1.49137, 0.229552
2,6,6.72984, 1.76139, 0.254842
2,7,6.91284, 1.95018, 0.305315
2,8,6.57499, 2.12589, 0.330645
2,9,5.58116, 2.08433, 0.297384
3,0,0.0157, 0.0046, 0.0184
3,1,0.0146, 0.0086, 0.0105
3,2,0.0152, 0.0176, 0.0178
3,3,1.50572, 0.87754, 0.0935594
3,4,3.21023, 1.92294, 0.229767
3,5,4.75906, 2.83857, 0.288896
3,6,5.21973, 3.61135, 0.343423
3,7,5.37432, 3.98887, 0.382924
3,8,5.09724, 4.12387, 0.401126
3,9,4.49319, 3.81887, 0.369793
4,0,0.0115, 0.0014, 0.0089
4,1,0.0077, 0.0137, 0.0152
4,2,0.0183, 0.0067, 0.0129
4,3,0.998181, 1.40708, 0.128607
4,4,2.11755, 3.06755, 0.372003
4,5,2.93763, 4.755, 0.512494
4,6,3.13963, 5.94149, 0.585605
4,7,3.13554, 6.33884, 0.652969
4,8,3.08694, 6.27016, 0.62394
4,9,2.87265, 5.68701, 0.563928
5,0,0.007, 0.0157, 0.0079
5,1,0.0136, 0.0012, 0.0194
5,2,0.0089, 0.0195, 0.0062
5,3,0.592063, 1.60544, 0.144
5,4,1.30811, 3.54018, 0.42453
5,5,1.82346, 5.48915, 0.627027
5,6,1.97473, 6.78996, 0.749787
5,7,1.92118, 7.22553, 0.789016
5,8,1.95921, 7.14669, 0.723549
5,9,2.02059, 6.56632, 0.637012
6,0,0.0118, 0.0188, 0.016
6,1,0.0174, 0.0125, 0.0173
6,2,0.0169, 0.0015, 0.0146
6,3,0.277656, 1.60501, 0.166139
6,4,0.635742, 3.6493, 0.489492
6,5,0.918506, 5.69992, 0.72274
6,6,1.00031, 7.10022, 0.890947
6,7,1.06854, 7.49465, 0.927962
6,8,1.19117, 7.37278, 0.806822
6,9,1.20126, 6.7473, 0.666867
7,0,0.0152, 0.0011, 0.018
7,1,0.0091, 0.0185, 0.0084
7,2,0.0042, 0.0133, 0.0076
7,3,0.229116, 1.48301, 0.162016
7,4,0.359306, 3.28395, 0.47214
7,5,0.528153, 5.16399, 0.719414
7,6,0.599349, 6.58211, 0.909056
7,7,0.649809, 6.98949, 1.0141
7,8,0.718041, 6.86976, 0.880999
7,9,0.797438, 5.95415, 0.675539
8,0,0.0046, 0.0156, 0.0016
8,1,0.0028, 0.0025, 0.0002
8,2,0.0089, 0.0044, 0.0135
8,3,0.0936796, 1.07688, 0.139347
8,4,0.105368, 2.43731, 0.396639
8,5,0.176473, 3.96074, 0.602513
8,6,0.298379, 5.05722, 0.741749
8,7,0.345928, 5.4446, 0.790313
8,8,0.391504, 5.29881, 0.726428
8,9,0.407212, 4.64676, 0.590404
9,0,0.0095, 0.0027, 0.0062
9,1,0.0111, 0.0032, 0.0088
9,2,0.0114, 0.0121, 0.0109
9,3,-0.00342832, 0.67406, 0.0998614
9,4,-0.00375838, 1.51235, 0.280757
9,5,0.0327926, 2.48738, 0.413734
9,6,0.0503076, 3.15493, 0.495169
9,7,0.0624988, 3.39093, 0.523176
9,8,0.0791014, 3.27606, 0.495453
9,9,0.0946351, 2.86251, 0.411398
